NGA,PolityID,PolityName,Year,Note,polity-territories,polity-populations,population-of-the-largest-settlements,settlement-hierarchies,administrative-levels,religious-levels,military-levels,professional-military-officers,professional-soldiers,professional-priesthoods,full-time-bureaucrats,examination-systems,merit-promotions,specialized-government-buildings,formal-legal-codes,judges,courts,professional-lawyers,irrigation-systems,drinking-water-supplies,markets,food-storage-sites,roads,bridges,canals,ports,mines-or-quarries,mnemonic-devices,nonwritten-records,written-records,scripts,non-phonetic-writings,phonetic-alphabetic-writings,lists-tables-and-classifications,calendars,sacred-texts,religious-literatures,practical-literatures,histories,philosophies,scientific-literatures,fictions,articles,tokens,precious-metals,foreign-coins,indigenous-coins,paper-currencies,couriers,postal-stations,general-postal-services
Ghanaian Coast,113,gh_akan,1600,,,,,3.0,4.0,2.2392106159094833,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0
Ghanaian Coast,113,gh_akan,1700,,,,,3.0,4.0,2.6034131475095013,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0
Southern Mesopotamia,476,iq_akkad_emp,-2200,,895641.2059773244,,24083.78215962246,4.106981367297106,5.0,4.0,5.805815795429166,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,1.0,
Southern Mesopotamia,476,iq_akkad_emp,-2100,,477766.9958945365,,23363.69734932804,4.731244093841106,5.0,4.0,5.966070972505616,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,0.0,0.0,0.0,1.0,1.0,
,578,mo_alawi_dyn_1,1700,,,,,,,2.0,4.0,,1.0,0.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,1.0,,1.0,,,,
,585,mo_alawi_dyn_2,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,585,mo_alawi_dyn_2,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,659,ni_allada_k,1100,,4800.0,200000.0,30000.0,3.4905278352192,,3.0,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,
,659,ni_allada_k,1200,,4800.0,200000.0,30000.0,3.7969058699063103,,3.0,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,
,659,ni_allada_k,1300,,4800.0,200000.0,30000.0,3.2922605396710285,,3.0,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,
,659,ni_allada_k,1400,,4800.0,200000.0,30000.0,3.5056392783591757,,3.0,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,
,659,ni_allada_k,1500,,4800.0,200000.0,30000.0,3.105574941983898,,3.0,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,,,,,,,
,659,ni_allada_k,1600,,4800.0,200000.0,30000.0,3.5767628749122196,,3.0,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,
,659,ni_allada_k,1700,,4800.0,200000.0,30000.0,3.118108663034726,,3.0,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,
,225,ma_almohad_emp,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,223,ma_almoravid_dyn,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,sd_alodia,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,sd_alodia,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,sd_alodia,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,sd_alodia,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,sd_alodia,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
