"NGA","PolID","Time","PropCoded","PolPop","PolTerr","CapPop","AdmLev","MilLev","ReligLev","SettlHier","ProfOfficer","ProfSoldier","ProfPriest","FullTBur","ExamSyst","MeritProm","GovtBldg","Court","LegCode","Judge","Lawyer","Irrigation","WaterSuppl","Market","FoodStor","Road","Bridge","Canal","Port","Mine","Courier","PostStation","PostService","Mnemonic","NonWRecord","WRecord","Script","NonPhWrit","PhAlph","Lists","Calendar","SacrTxt","ReligLit","PractLit","History","Philosophy","SciLit","Fiction","Article","Token","PrecMetal","ForCoin","IndigCoin","PaperCurr","Credit","uniq"
"Susiana","ir_ak_koyunlu",1500,64,-999,6.25527250510331,-999,5,6,2,4,1,1,-999,1,0,0,1,-999,1,-999,-999,-999,-999,1,-999,1,1,1,-999,-999,1,1,-999,-999,-999,1,1,0,1,1,1,1,1,1,1,1,1,1,-999,-999,-999,1,1,-999,-999,"y"
"Ghanaian Coast","gh_akan",1600,89,-999,-999,-999,4,5,2.5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,-999,1,0,0,0,0,1,1,0,0,1,1,0,0,-999,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-999,"y"
"Ghanaian Coast","gh_akan",1700,89,-999,-999,-999,4,5,2.5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,-999,1,0,0,0,0,1,1,0,0,1,1,0,0,-999,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-999,"n"
"Southern Mesopotamia","iq_akkad_emp",-2200,83,-999,5.86033800657099,4.47712125471966,5,5.5,4,4.5,1,1,1,1,0,-999,0,1,1,0,1,1,-999,1,1,1,-999,1,1,1,1,1,-999,1,1,1,1,0,-999,1,1,1,1,1,1,-999,1,1,1,-999,1,0,0,0,-999,"y"
"Southern Mesopotamia","iq_akkad_emp",-2100,83,-999,5.86033800657099,4.47712125471966,5,5.5,4,4.5,1,1,1,1,0,-999,0,1,1,0,1,1,-999,1,1,1,-999,1,1,1,1,1,-999,1,1,1,1,0,-999,1,1,1,1,1,1,-999,1,1,1,-999,1,0,0,0,-999,"n"
"-999","mo_alawi_dyn_1",1700,47,-999,-999,-999,6,4,2,-999,-999,1,0,1,-999,-999,1,-999,1,1,-999,1,1,1,1,-999,1,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,1,-999,-999,1,-999,1,-999,-999,-999,-999,-999,1,-999,1,-999,1,"y"
"-999","mo_alawi_dyn_2",1800,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"y"
"-999","mo_alawi_dyn_2",1900,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","ni_allada_k",1100,49,5.30102999566398,3.68124123737559,4.47712125471966,4,-999,3,3.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,0,-999,-999,1,-999,-999,-999,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,-999,-999,-999,-999,-999,"y"
"-999","ni_allada_k",1200,49,5.30102999566398,3.68124123737559,4.47712125471966,4,-999,3,3.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,0,-999,-999,1,-999,-999,-999,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,-999,-999,-999,-999,-999,"n"
"-999","ni_allada_k",1300,49,5.30102999566398,3.68124123737559,4.47712125471966,4,-999,3,3.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,0,-999,-999,1,-999,-999,-999,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,-999,-999,-999,-999,-999,"n"
"-999","ni_allada_k",1400,49,5.30102999566398,3.68124123737559,4.47712125471966,4,-999,3,3.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,0,-999,-999,1,-999,-999,-999,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,-999,-999,-999,-999,-999,"n"
"-999","ni_allada_k",1500,49,5.30102999566398,3.68124123737559,4.47712125471966,4,-999,3,3.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,0,-999,-999,1,-999,-999,-999,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,-999,-999,-999,-999,-999,"n"
"-999","ni_allada_k",1600,49,5.30102999566398,3.68124123737559,4.47712125471966,4,-999,3,3.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,0,-999,-999,1,-999,-999,-999,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-999,-999,-999,-999,-999,"y"
"-999","ni_allada_k",1700,49,5.30102999566398,3.68124123737559,4.47712125471966,4,-999,3,3.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,0,-999,-999,1,-999,-999,-999,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-999,-999,-999,-999,-999,"n"
"-999","ma_almohad_emp",1200,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"y"
"-999","ma_almoravid_dyn",1100,72,6.77815125038364,6.60205999132796,5.05115252244738,4,4.5,3,-999,1,1,1,1,-999,0,1,1,1,1,-999,1,1,1,1,1,-999,-999,1,1,1,1,-999,1,1,1,1,0,1,-999,1,1,1,-999,-999,-999,-999,1,1,-999,1,-999,1,-999,-999,"y"
"-999","sd_alodia",600,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"y"
"-999","sd_alodia",700,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","sd_alodia",800,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","sd_alodia",900,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","sd_alodia",1000,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","sd_alodia",1100,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","sd_alodia",1200,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","sd_alodia",1300,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","sd_alodia",1400,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","sd_alodia",1500,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"Southern Mesopotamia","iq_babylonia_1",-2000,40,-999,5.65321251377534,-999,6,-999,-999,4,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,1,1,1,-999,-999,1,1,-999,1,-999,-999,-999,-999,1,1,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,1,-999,1,-999,-999,-999,-999,"y"
"Southern Mesopotamia","iq_babylonia_1",-1900,40,-999,5.65321251377534,-999,6,-999,-999,4,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,1,1,1,-999,-999,1,1,-999,1,-999,-999,-999,-999,1,1,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,1,-999,1,-999,-999,-999,-999,"n"
"Southern Mesopotamia","iq_babylonia_1",-1800,40,-999,5.65321251377534,-999,6,-999,-999,4,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,1,1,1,-999,-999,1,1,-999,1,-999,-999,-999,-999,1,1,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,1,-999,1,-999,-999,-999,-999,"n"
"Southern Mesopotamia","iq_babylonia_1",-1700,40,-999,5.65321251377534,-999,6,-999,-999,4,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,1,1,1,-999,-999,1,1,-999,1,-999,-999,-999,-999,1,1,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,1,-999,1,-999,-999,-999,-999,"n"
"Southern Mesopotamia","iq_babylonia_1",-1600,40,-999,5.65321251377534,-999,6,-999,-999,4,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,1,1,1,-999,-999,1,1,-999,1,-999,-999,-999,-999,1,1,-999,-999,1,-999,-999,1,-999,-999,-999,1,-999,1,-999,1,-999,-999,-999,-999,"n"
"Sogdiana","uz_khwarasm_1",-1000,43,4.8750612633917,-999,4.39794000867204,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,0,-999,"y"
"Sogdiana","uz_khwarasm_1",-900,43,4.8750612633917,-999,4.39794000867204,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,0,-999,"n"
"Sogdiana","uz_khwarasm_1",-800,43,4.8750612633917,-999,4.39794000867204,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,0,-999,"n"
"Sogdiana","uz_khwarasm_1",-700,43,4.8750612633917,-999,4.39794000867204,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,0,-999,"n"
"Sogdiana","uz_khwarasm_1",-600,43,4.8750612633917,-999,4.39794000867204,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,1,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,0,-999,"n"
"Sogdiana","kz_andronovo",-1800,45,-999,4.03140846425162,2.17609125905568,-999,-999,-999,1.5,-999,-999,-999,-999,-999,-999,-999,0,0,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,-999,0,0,0,0,0,0,0,0,0,0,1,-999,-999,0,0,0,-999,"y"
