NGA,PolityID,PolityName,Section,Subsection,value_from,value_to,year_from,year_to,is_disputed,is_uncertain
Deccan,94,in_kalyani_chalukya_emp,sc,polity-territories,600000,7000000,,,False,False
,400,in_chandela_k,sc,polity-territories,100000,100000,,,False,False
,780,bd_chandra_dyn,sc,polity-territories,,,,,False,False
,401,in_chauhana_dyn,sc,polity-territories,230000,230000,,,False,False
,399,in_chaulukya_dyn,sc,polity-territories,,,,,False,False
Cambodian Basin,39,kh_chenla,sc,polity-territories,531000,531000,,,False,False
,277,kz_chionite,sc,polity-territories,,,,,False,False
,246,cn_chu_dyn_spring_autumn,sc,polity-territories,50000,70000,-700,-700,False,False
,246,cn_chu_dyn_spring_autumn,sc,polity-territories,370000,370000,-600,-600,False,False
,246,cn_chu_dyn_spring_autumn,sc,polity-territories,200000,300000,-500,-500,False,False
Middle Yellow River Valley,249,cn_chu_k_warring_states,sc,polity-territories,460000,460000,,,False,False
Chuuk Islands,57,fm_truk_1,sc,polity-territories,,,,,False,False
Chuuk Islands,58,fm_truk_2,sc,polity-territories,127,127,,,False,False
Cambodian Basin,41,kh_angkor_2,sc,polity-territories,939245,939245,,,False,False
Cambodian Basin,41,kh_angkor_2,sc,polity-territories,939245,939245,,,False,False
Crete,68,gr_crete_classical,sc,polity-territories,210,240,,,False,False
,299,ru_crimean_khanate,sc,polity-territories,,,,,False,False
,299,ru_crimean_khanate,sc,polity-territories,,,,,False,False
Cuzco,78,pe_cuzco_2,sc,polity-territories,600,800,200,200,False,False
Cuzco,78,pe_cuzco_2,sc,polity-territories,600,800,300,300,False,False
Cuzco,78,pe_cuzco_2,sc,polity-territories,1000,1000,400,400,False,False
Cuzco,79,pe_cuzco_3,sc,polity-territories,1000,1000,,,False,False
Cuzco,77,pe_cuzco_1,sc,polity-territories,,,,,False,False
Cuzco,81,pe_cuzco_5,sc,polity-territories,500,700,,,False,False
Cuzco,82,pe_cuzco_6,sc,polity-territories,2300,2800,,,False,False
Deccan,86,in_deccan_ia,sc,polity-territories,,,,,False,False
Kachi Plain,135,in_delhi_sultanate,sc,polity-territories,2800000,3200000,,,False,False
,779,bd_deva_dyn,sc,polity-territories,,,,,False,False
,307,fr_aquitaine_duc_1,sc,polity-territories,170000,170000,,,False,False
Kachi Plain,137,af_durrani_emp,sc,polity-territories,1792000,1792000,1772,1772,False,False
Kachi Plain,137,af_durrani_emp,sc,polity-territories,1790000,490000,1800,1800,False,False
Kachi Plain,137,af_durrani_emp,sc,polity-territories,489000,489000,1819,1819,False,False
Garo Hills,111,in_achik_1,sc,polity-territories,,,,,False,False
Cambodian Basin,40,kh_angkor_1,sc,polity-territories,916847,916847,,,False,False
Southern Mesopotamia,475,iq_early_dynastic,sc,polity-territories,1200,20200,,,False,False
,715,tz_east_africa_ia_1,sc,polity-territories,,,,,False,False
,715,tz_east_africa_ia_1,sc,polity-territories,,,,,False,False
,715,tz_east_africa_ia_1,sc,polity-territories,,,,,False,False
,715,tz_east_africa_ia_1,sc,polity-territories,,,,,False,False
Basin of Mexico,8,mx_basin_of_mexico_3,sc,polity-territories,,,,,False,False
Cahokia,30,us_early_illinois_confederation,sc,polity-territories,14000,19000,,,False,False
Paris Basin,304,fr_merovingian_emp_1,sc,polity-territories,200000,300000,,,False,False
Orkhon Valley,442,mn_mongol_early,sc,polity-territories,70000,90000,,,False,False
Valley of Oaxaca,525,mx_monte_alban_1_early,sc,polity-territories,1300,1300,,,False,False
Middle Yellow River Valley,1,cn_qing_dyn_1,sc,polity-territories,13100000,13100000,,,False,False
Latium,182,it_roman_rep_1,sc,polity-territories,1300,1300,-500,-500,False,False
Latium,182,it_roman_rep_1,sc,polity-territories,1300,1300,-400,-400,False,False
Latium,182,it_roman_rep_1,sc,polity-territories,5000,30000,-300,-300,False,False
,569,mx_mexico_1,sc,polity-territories,23309000,23309000,1848,1848,False,False
,429,mr_wagadu_1,sc,polity-territories,100000,125000,,,False,False
,429,mr_wagadu_1,sc,polity-territories,100000,125000,,,False,False
Middle Yellow River Valley,424,cn_wei_dyn_warring_states,sc,polity-territories,90000,90000,,,False,False
Middle Yellow River Valley,424,cn_wei_dyn_warring_states,sc,polity-territories,90000,90000,,,False,False
Orkhon Valley,437,mn_hunnu_early,sc,polity-territories,350000,700000,-1400,-500,False,False
Orkhon Valley,437,mn_hunnu_early,sc,polity-territories,700000,1400000,-400,-300,False,False
,798,de_east_francia,sc,polity-territories,450000,500000,,,False,False
Konya Plain,72,tr_east_roman_emp,sc,polity-territories,1300000,1300000,400,400,False,False
Konya Plain,72,tr_east_roman_emp,sc,polity-territories,1300000,1500000,500,500,False,False
Konya Plain,72,tr_east_roman_emp,sc,polity-territories,1400000,1900000,600,600,False,False
Middle Yellow River Valley,253,cn_eastern_han_dyn,sc,polity-territories,6500000,6500000,100,100,False,False
Middle Yellow River Valley,253,cn_eastern_han_dyn,sc,polity-territories,5344000,5344000,120,120,False,False
Middle Yellow River Valley,253,cn_eastern_han_dyn,sc,polity-territories,4633000,4633000,140,140,False,False
Middle Yellow River Valley,253,cn_eastern_han_dyn,sc,polity-territories,3922000,3922000,160,160,False,False
Middle Yellow River Valley,253,cn_eastern_han_dyn,sc,polity-territories,3211000,3211000,180,180,False,False
Middle Yellow River Valley,253,cn_eastern_han_dyn,sc,polity-territories,2500000,2500000,200,200,False,False
Orkhon Valley,283,mn_turk_khaganate_1,sc,polity-territories,4500000,5000000,,,False,False
