NGA,PolityID,PolityName,PolityOldName,StartYear,EndYear,long-walls,coppers,bronzes,irons,steels,javelins,atlatls,slings,self-bows,composite-bows,crossbows,tension-siege-engines,sling-siege-engines,gunpowder-siege-artilleries,handheld-firearms,war-clubs,battle-axes,daggers,swords,spears,polearms,donkeys,horses,camels,elephants,wood-bark-etc,leathers,shields,helmets,breastplates,limb-protections,scaled-armors,laminar-armors,plate-armors,settlement-in-defensive-positions,wooden-palisades,earth-ramparts,ditches,moats,stone-walls-non-mortared,stone-walls-mortared,fortified-camps,complex-fortifications,modern-fortifications,chainmails,polity-territories,polity-populations,population-of-the-largest-settlements,settlement-hierarchies,administrative-levels,religious-levels,military-levels,professional-military-officers,professional-soldiers,professional-priesthoods,full-time-bureaucrats,examination-systems,merit-promotions,specialized-government-buildings,formal-legal-codes,judges,courts,professional-lawyers,irrigation-systems,drinking-water-supplies,markets,food-storage-sites,roads,bridges,canals,ports,mines-or-quarries,mnemonic-devices,nonwritten-records,written-records,scripts,non-phonetic-writings,phonetic-alphabetic-writings,lists-tables-and-classifications,calendars,sacred-texts,religious-literatures,practical-literatures,histories,philosophies,scientific-literatures,fictions,articles,tokens,precious-metals,foreign-coins,indigenous-coins,paper-currencies,couriers,postal-stations,general-postal-services,moral-concern-is-primary,moralizing-enforcement-is-certain,moralizing-norms-are-broad,moralizing-enforcement-is-targeted,moralizing-enforcement-of-rulers,moralizing-religion-adopted-by-elites,moralizing-religion-adopted-by-commoners,moralizing-enforcement-in-afterlife,moralizing-enforcement-in-this-life,moralizing-enforcement-is-agentic
Southern Mesopotamia,132,iq_abbasid_cal_1,IqAbbs1,750.0,946.0,,"{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}",,,"{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}",,"{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}",,"{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}",,"{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}",,"{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}",,,"{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[800, 900]], 'value': [[(8300000, 8300000), (1000000, 1000000)]], 'polity_years': [750.0, 946.0]}","{'t': [[800, 900]], 'value': [[(23000000, 33000000), (9000000, 11000000)]], 'polity_years': [750.0, 946.0]}","{'t': [[800, 900], [800, 900]], 'value': [[(700000, 700000), (300000, 300000)], [(700000, 700000), (900000, 900000)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(6, 6), (6, 6)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(6, 6), (6, 6)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(2, 2), (2, 2)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(6, 6), (6, 6)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0], [750.0, 946.0], [750.0, 946.0]], 'value': [[(1, 1), (1, 1)], [(0, 0), (1, 1)], [(1, 1), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0], [750.0, 946.0], [750.0, 946.0]], 'value': [[(1, 1), (1, 1)], [(0, 0), (1, 1)], [(1, 1), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}",,"{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750.0, 946.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [750.0, 946.0]}","{'t': [[750, 946]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750, 946]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750, 946]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750, 946]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750, 946]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750, 946]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750, 946]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750, 946]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750, 946]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [750.0, 946.0]}","{'t': [[750, 946]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [750.0, 946.0]}"
Southern Mesopotamia,484,iq_abbasid_cal_2,IqAbbs2,1191.0,1258.0,,"{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}",,"{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}",,"{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}",,"{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}",,"{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}",,,"{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1200]], 'value': [[(750000, 750000)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1200]], 'value': [[(3900000, 3900000)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1000000, 1000000), (1000000, 1000000)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(4, 5), (4, 5)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(5, 5), (5, 5)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(2, 2), (2, 2)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(5, 6), (5, 6)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}",,,,"{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}",,,,"{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}",,,"{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}",,"{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}",,"{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191.0, 1258.0]], 'value': [[(0, 0), (0, 0)]], 'polity_years': [1191.0, 1258.0]}",,,"{'t': [[1191.0, 1258.0]], 'value': [[(1, 1), (1, 1)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191, 1207]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191, 1207]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191, 1207]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191, 1207]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191, 1207]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191, 1207]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191, 1207]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191, 1207]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191, 1207]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [1191.0, 1258.0]}","{'t': [[1191, 1207]], 'value': [[(1.0, 1.0), (1.0, 1.0)]], 'polity_years': [1191.0, 1258.0]}"
